title,typeid,name,description,icon_color,long,lat,url,thumb_url,주소,image_url,fctyCd,gvmtCd
하동화력발전소,1,하동화력발전소,하동화력발전소,R,126.7882,34.9549,http://10.32.28.204:8001/img/common/ico_map11.png,http://10.32.28.204:8001/img/common/ico_map11.png,경남 하동군금성면가덕리310,http://10.32.28.204:8001/img/common/ico_map11.png,HD,NP
영월화력발전소,2,영월화력발전소,영월화력발전소,R,128.4909,37.2011,http://10.32.28.204:8001/img/common/ico_map11.png,http://10.32.28.204:8001/img/common/ico_map11.png,강원도 영열군영월읍정양리,http://10.32.28.204:8001/img/common/ico_map11.png,YW,NP
영동화력발전소,3,영동화력발전소,영동화력발전소,R,128.9817,37.7385,http://10.32.28.204:8001/img/common/ico_map11.png,http://10.32.28.204:8001/img/common/ico_map11.png,강원도 강릉시강동면대동리200,http://10.32.28.204:8001/img/common/ico_map11.png,YD,EN
통영시청,4,통영시청,통영시청,R,128.433,34.854,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,경남 통영시통영해안로515(무전동357),http://10.32.28.204:8001/img/common/ico_map01.png,TY,GN
청주시청,5,청주시청,청주시청,R,127.29,36.38,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,충북 청주시상당구상당로155,http://10.32.28.204:8001/img/common/ico_map01.png,CJ,CP
교원대학교,6,교원대학교,교원대학교,R,127.358,36.6135,http://10.32.28.204:8001/img/common/ico_map02.png,http://10.32.28.204:8001/img/common/ico_map02.png,충북 청원군감내면 태성탑연로 250,http://10.32.28.204:8001/img/common/ico_map02.png,KU,AC
한전원전연료(주),7,한전원전연료(주),한전원전연료(주),R,127.223868,36.256908,http://10.32.28.204:8001/img/common/ico_map09.png,http://10.32.28.204:8001/img/common/ico_map09.png,대전광역시 유성구대덕대로989번길242(대진동),http://10.32.28.204:8001/img/common/ico_map09.png,NA,NF
한전원전연료(주),8,한전원전연료(주),한전원전연료(주),R,127.223868,36.256908,http://10.32.28.204:8001/img/common/ico_map09.png,http://10.32.28.204:8001/img/common/ico_map09.png,대전광역시 유성구대덕대로989번길242(대진동),http://10.32.28.204:8001/img/common/ico_map09.png,NB,NF
한전원전연료(주),9,한전원전연료(주),한전원전연료(주),R,127.223868,36.256908,http://10.32.28.204:8001/img/common/ico_map09.png,http://10.32.28.204:8001/img/common/ico_map09.png,대전광역시 유성구대덕대로989번길242(대진동),http://10.32.28.204:8001/img/common/ico_map09.png,NG,NF
강남구청,10,강남구청,강남구청,R,127.047381,37.517292,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,서울특별시 강남구서울시강남구삼성동16-1,http://10.32.28.204:8001/img/common/ico_map01.png,GN,SL
의왕시(청),11,의왕시(청),의왕시(청),R,126.96,37.34,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,경기도 의왕시고천동171,http://10.32.28.204:8001/img/common/ico_map01.png,UW,GK
강원대학교삼척캠퍼스,12,강원대학교삼척캠퍼스,강원대학교삼척캠퍼스,R,129.161866,37.452216,http://10.32.28.204:8001/img/common/ico_map02.png,http://10.32.28.204:8001/img/common/ico_map02.png,강원도 삼척시중앙로346,http://10.32.28.204:8001/img/common/ico_map02.png,KS,AC
전남대광주,13,전남대광주,전남대광주,R,126.9,35.17,http://10.32.28.204:8001/img/common/ico_map02.png,http://10.32.28.204:8001/img/common/ico_map02.png,광주광역시 북구용봉로,http://10.32.28.204:8001/img/common/ico_map02.png,BG,AC
경기도청사,14,경기도청사,경기도청사,R,127,37.27,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,경기도 수원시팔달구매산로3가1,http://10.32.28.204:8001/img/common/ico_map01.png,GG,GK
괴산군청,15,괴산군청,괴산군청,R,127.7866,36.8153,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,충북 괴산군괴산읍서부리125,http://10.32.28.204:8001/img/common/ico_map01.png,GS,CP
광명시청,16,광명시청,광명시청,R,126.86455,37.478536,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,경기도 광명시철산3동222-1,http://10.32.28.204:8001/img/common/ico_map01.png,GM,GK
구리시청,17,구리시청,구리시청,R,127.1295,37.5943,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,경기도 구리시교문동390-1,http://10.32.28.204:8001/img/common/ico_map01.png,GR,GK
안산시청,18,안산시청,안산시청,R,126.8308,37.3218,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,경기도 안산시단원구고잔동515,http://10.32.28.204:8001/img/common/ico_map01.png,DW,GK
시흥시청,19,시흥시청,시흥시청,R,126.802821,37.38003,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,경기도 시흥시장현동 300,http://10.32.28.204:8001/img/common/ico_map01.png,SH,GK
임실군청,20,임실군청,임실군청,R,127.28,35.61,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,전북 임실군임실읍이도리78,http://10.32.28.204:8001/img/common/ico_map01.png,IS,JP
거창군청,21,거창군청,거창군청,R,127.909516,36.686723,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,경남 거창군거창읍상림리(중앙로103),http://10.32.28.204:8001/img/common/ico_map01.png,GC,GN
