TITLE,TYPEID,Name,Description,Icon_color,Long,Lat,URL,Thumb_URL,imageUrl,주소,fctyCd,gvmtCd
충북도도청,111,충북도도청,충북도도청,R,127.49,36.63,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,충북 청주시상당구문화동89,CD,CP
강원대학교,112,강원대학교,강원대학교,R,127.743386,37.869984,http://10.32.28.204:8001/img/common/ico_map02.png,http://10.32.28.204:8001/img/common/ico_map02.png,http://10.32.28.204:8001/img/common/ico_map02.png,강원도 춘천시효자 2동 192-1,GW,AC
영동군청,113,영동군청,영동군청,R,127.783416,36.1750194,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,충북 영동군영동읍계산리210-1,YD,CP
안양시청,114,안양시청,안양시청,R,126.9565,37.394065,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,경기도 안양시동안구시민대로235,AY,GK
강원대학교도계캠퍼스,115,강원대학교도계캠퍼스,강원대학교도계캠퍼스,R,129.09694,37.22415,http://10.32.28.204:8001/img/common/ico_map02.png,http://10.32.28.204:8001/img/common/ico_map02.png,http://10.32.28.204:8001/img/common/ico_map02.png,강원도 삼척시도계읍황조길346,DK,AC
청원군청,116,청원군청,청원군청,R,127.488522,36.63540556,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,충북 청주시상당구북문로1가171-3,CW,CP
청주교육대학교,117,청주교육대학교,청주교육대학교,R,127.29,36.36,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,충북 청주시흥덕구청남로2065,CE,AC
평창군청,118,평창군청,평창군청,R,128.390005,37.370862,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,강원도 평창군평창읍 하리 210-2,PC,GW
진주시청,119,진주시청,진주시청,R,128.1084,35.1802,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,경남 진주시상대동284,JJ,GN
함양군청,120,함양군청,함양군청,R,127.4353,35.31248,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,경남 함양군함양읍고운로35,HY,GN
